kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
3348082,K01196.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,3.98216698,1.455e-05,-1.455e-05,135.52749,0.0032600000000000003,-0.0032600000000000003,0.775,0.052000000000000005,-0.54,2.396,0.109,-0.109,381.3,16.3,-16.3,3.32,0.52,-0.84,1374.0,,,842.48,351.33,-395.71,27.1,1,q1_q17_dr25_tce,5570.0,83.0,-72.0,4.066,0.21,-0.09,1.548,0.241,-0.391,19h31m41.46s,+38d28m38.2s,15.035,
8609450,K01278.01,Kepler-282 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,24.805677499999998,0.00010329999999999999,-0.00010329999999999999,145.07526000000001,0.0031899999999999997,-0.0031899999999999997,0.006999999999999999,0.415,-0.006999999999999999,6.148,0.102,-0.102,624.4,16.5,-16.5,2.16,0.22,-0.22,588.0,,,28.22,8.8,-6.99,39.4,2,q1_q17_dr25_tce,5600.0,112.0,-100.0,4.455,0.102,-0.077,0.872,0.088,-0.088,18h58m42.55s,+44d47m51.6s,15.204,
8609450,K01278.02,Kepler-282 e,CONFIRMED,CANDIDATE,1.0,0,0,0,0,44.3471936,0.00017230000000000001,-0.00017230000000000001,161.31738,0.0031,-0.0031,0.273,0.161,-0.273,6.43,0.106,-0.106,791.7,20.6,-20.6,2.45,0.25,-0.25,484.0,,,13.0,4.05,-3.22,40.5,1,q1_q17_dr25_tce,5600.0,112.0,-100.0,4.455,0.102,-0.077,0.872,0.088,-0.088,18h58m42.55s,+44d47m51.6s,15.204,
8609450,K01278.03,Kepler-282 b,CONFIRMED,CANDIDATE,0.896,0,0,0,0,9.220769099999998,0.00013959999999999998,-0.00013959999999999998,138.0072,0.0145,-0.0145,0.037000000000000005,0.41100000000000003,-0.037000000000000005,4.907,0.27899999999999997,-0.27899999999999997,140.0,11.6,-11.6,1.02,0.11,-0.1,817.0,,,105.63,32.94,-26.19,13.2,4,q1_q17_dr25_tce,5600.0,112.0,-100.0,4.455,0.102,-0.077,0.872,0.088,-0.088,18h58m42.55s,+44d47m51.6s,15.204,
8609450,K01278.04,Kepler-282 c,CONFIRMED,CANDIDATE,0.992,0,0,0,0,13.639664800000002,0.00023040000000000002,-0.00023040000000000002,141.7301,0.0117,-0.0117,0.105,0.344,-0.105,5.425,0.3,-0.3,162.7,13.2,-13.2,1.1,0.11,-0.11,717.0,,,62.6,19.52,-15.52,13.3,3,q1_q17_dr25_tce,5600.0,112.0,-100.0,4.455,0.102,-0.077,0.872,0.088,-0.088,18h58m42.55s,+44d47m51.6s,15.204,
8609450,K01278.05,,FALSE POSITIVE,FALSE POSITIVE,0.174,1,0,0,0,203.250506,0.008664,-0.008664,208.4914,0.0345,-0.0345,0.336,0.127,-0.336,9.81,1.0,-1.0,238.9,37.3,-37.3,1.35,0.14,-0.13,292.0,,,1.71,0.53,-0.43,7.0,5,q1_q17_dr25_tce,5600.0,112.0,-100.0,4.455,0.102,-0.077,0.872,0.088,-0.088,18h58m42.55s,+44d47m51.6s,15.204,
8628758,K01279.01,Kepler-804 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,14.37457572,3.311e-05,-3.311e-05,138.20189,0.0019199999999999998,-0.0019199999999999998,0.035,0.384,-0.035,4.7892,0.057,-0.057,335.8,6.6,-6.6,1.94,0.29,-0.24,779.0,,,87.24,37.61,-25.3,55.2,1,q1_q17_dr25_tce,5768.0,115.0,-115.0,4.3580000000000005,0.121,-0.11,1.067,0.16,-0.131,19h33m29.34s,+44d47m06.5s,13.749,
8628758,K01279.02,Kepler-804 c,CONFIRMED,CANDIDATE,0.971,0,0,0,0,9.65188331,5.898e-05,-5.898e-05,132.15947,0.00491,-0.00491,0.122,0.342,-0.122,4.296,0.161,-0.161,103.2,5.8,-5.8,1.08,0.16,-0.14,890.0,,,148.32,63.94,-43.02,19.8,2,q1_q17_dr25_tce,5768.0,115.0,-115.0,4.3580000000000005,0.121,-0.11,1.067,0.16,-0.131,19h33m29.34s,+44d47m06.5s,13.749,
4725681,K00817.02,Kepler-236 b,CONFIRMED,CANDIDATE,0.995,0,0,0,0,8.29561738,2.368e-05,-2.368e-05,135.79283999999998,0.0021899999999999997,-0.0021899999999999997,0.888,0.062,-0.612,1.3421,0.0773,-0.0773,824.3,57.5,-57.5,1.82,0.1,-0.15,469.0,,,11.39,2.4,-2.65,17.9,2,q1_q17_dr25_tce,3747.0,75.0,-83.0,4.728,0.042,-0.025,0.524,0.03,-0.044,18h55m27.93s,+39d53m53.1s,15.414000000000001,
4913852,K00818.01,Kepler-691 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.11437482,1.092e-05,-1.092e-05,176.33968000000002,0.00107,-0.00107,0.573,0.0,-0.46799999999999997,2.2736,0.0447,-0.0447,1558.0,32.0,-32.0,2.1,0.14,-0.16,460.0,,,10.55,2.46,-2.31,56.4,1,q1_q17_dr25_tce,3692.0,73.0,-83.0,4.753,0.032,-0.039,0.517,0.035,-0.039,19h15m14.88s,+40d02m00.2s,15.877,
4932348,K00819.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,38.036729482,3.4839999999999996e-06,-3.4839999999999996e-06,196.934947,7.159999999999999e-05,-7.159999999999999e-05,0.501,0.003,-0.005,4.34617,0.00645,-0.00645,82871.6,83.3,-83.3,27.5,5.28,-2.27,500.0,,,14.81,8.85,-3.91,1300.0,1,q1_q17_dr25_tce,5575.0,166.0,-183.0,4.521,0.038,-0.152,0.932,0.179,-0.077,19h36m35.49s,+40d03m19.9s,15.472000000000001,
