kepid,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID
4472143,K07696.01,1,FALSE POSITIVE,0.044000000000000004,472.071079,7.266772,2.01,0.17,-0.08,0.014666,0.00312,-0.005345,004472143-01
8750503,K07910.01,1,FALSE POSITIVE,0.07400000000000001,11.9283194,7.4145985,0.98,0.1,-0.1,0.01201,0.000724,-0.000911,008750503-01
11124353,K08220.01,2,FALSE POSITIVE,0.163,423.73074,7.6106862999999985,2.48,0.81,-0.29,0.026643,0.002291,-0.001284,011124353-02
9119458,K00525.01,1,FALSE POSITIVE,0.0,11.53029332,38.911926,3.98,1.1,-0.89,0.031664,0.000936,-0.000431,009119458-01
11601357,K07459.01,1,FALSE POSITIVE,0.402,3.55027051,7.364884,1.15,0.24,-0.1,0.013194999999999998,0.001395,-0.001102,011601357-01
5009688,K07713.01,1,FALSE POSITIVE,0.198,1.381257093,7.817109599999998,1.1,0.33,-0.15,0.008874,0.000609,-0.000624,005009688-01
6600492,K08125.01,1,FALSE POSITIVE,0.027000000000000003,312.61007,10.018782,2.01,0.48,-0.19,0.019933000000000003,0.000414,-0.001847,006600492-01
11760931,K08229.01,1,FALSE POSITIVE,0.096,397.72733,7.423948299999998,1.48,0.46,-0.15,0.01394,0.000944,-0.001177,011760931-01
9347066,K07933.01,1,FALSE POSITIVE,0.0,20.004714,7.5677705,0.89,0.15,-0.07,0.009662,0.001244,-0.001156,009347066-01
12121118,K08235.01,1,FALSE POSITIVE,0.005,495.06538,7.30823,2.0,0.62,-0.21,0.018892,0.0005549999999999999,-0.001452,012121118-01
6381846,K00509.03,3,FALSE POSITIVE,0.0,39.6034,13.178303,2.22,0.27,-0.18,0.021546,0.000802,-0.00073,006381846-03
7762886,K08144.01,2,FALSE POSITIVE,0.071,315.81065,8.383834,1.82,0.11,-0.19,0.020529,0.0013050000000000002,-0.001518,007762886-02
7811537,K08145.01,2,FALSE POSITIVE,0.20199999999999999,16.9341628,7.2309199999999985,1.71,0.57,-0.18,0.01395,0.000762,-0.002486,007811537-02
11854636,K07484.01,1,FALSE POSITIVE,0.235,37.0200232,7.907945,2.14,0.57,-0.19,0.022145,0.004404,-0.005351,011854636-01
7664272,K07845.01,1,FALSE POSITIVE,0.146,341.01495,7.394858,1.72,0.3,-0.21,0.017606,0.0026,-0.002253,007664272-01
11348086,K08049.01,1,FALSE POSITIVE,0.17600000000000002,391.420272,8.236689,1.61,0.33,-0.17,0.015559,0.004229999999999999,-0.001663,011348086-01
7900114,K08148.01,1,FALSE POSITIVE,0.09699999999999999,303.91225,9.752224,1.97,0.42,-0.18,0.020355,0.000388,-0.001843,007900114-01
